ID,歌曲名,艺术家,专辑,曲速,稳度,常度,欢乐,轻松,忧郁,狂躁,奔放,悲痛,柔和,备注,
191,空城计,于魁智,于魁智老生唱腔专辑（二）,50,90,90,0,70,0,0,0,0,60,0,0
192,甘露寺,于魁智,于魁智老生唱腔专辑（二）,50,90,90,0,0,70,0,0,70,60,0,0
193,沙家浜智斗样板戏京剧,佚名,单曲,40,70,80,0,70,0,0,80,0,0,0,0
194,祥云冉冉波罗天(天女散花),刁丽,京剧之星,50,90,90,80,80,0,0,0,0,90,0,0
195,天上掉下个林妹妹,张瑞希,单曲,60,80,80,90,90,0,0,30,0,0,0,0
196,十八相送,佚名,单曲,60,80,80,0,80,0,0,70,0,70,0,0
197,惜别离,茅威涛 黄依群,单曲,50,80,90,0,0,80,0,0,0,80,0,0
198,十送红军,宋祖英,十送红军,70,80,80,80,70,0,0,80,0,70,0,0
199,好日子,宋祖英,大地飞歌,70,90,90,90,90,0,0,90,0,0,0,0
200,大地飞歌,宋祖英,大地飞歌,70,60,70,90,90,0,0,80,0,30,0,0
201,洪湖水浪打浪,宋祖英,大地飞歌,60,90,90,70,80,0,0,0,0,70,0,0
202,爱我中华,宋祖英,大地飞歌,60,90,80,90,90,0,0,90,0,0,0,0
203,祝福妈妈,佚名,单曲,60,80,80,0,70,70,0,0,0,70,0,0
204,民族舞会,于文华,单曲,60,80,80,80,30,0,0,80,0,20,0,0
205,沂蒙山小调,于文华,沂蒙山小调,40,80,80,70,60,0,0,0,0,70,0,0
206,摇篮曲,于文华,单曲,50,80,90,0,80,0,0,0,0,100,0,0
207,小白菜,于文华,国宝民歌,50,90,90,0,0,80,0,0,70,90,0,0
208,我用歌声祝福你,于文华,单曲,60,60,70,80,60,0,0,50,0,80,0,0
209,痴情小妹妹,于文华,单曲,70,70,80,90,90,0,0,80,0,50,0,0
210,婚誓,于文华,单曲,60,80,70,90,80,0,0,0,0,80,0,0
211,龙船调,于文华,单曲,70,50,60,90,90,0,0,70,0,70,0,0
212,老伴,于文华,单曲,70,80,80,80,70,0,0,80,0,60,0,0
213,纤夫谣,于文华,单曲,60,80,80,70,80,0,0,90,0,40,0,0
214,母亲,阎维文,战士情歌,50,80,100,0,80,0,0,90,0,60,0,0
215,当你的秀发拂过我的钢枪,阎维文,单曲,60,70,70,0,60,60,0,90,0,60,0,0
216,说句心里话,阎维文,我爱你中国,70,80,80,0,80,70,0,80,0,60,0,0
217,小白杨,阎维文,小白杨,70,70,80,70,80,0,0,90,0,70,0,0
218,父亲,阎维文,单曲,60,50,50,0,0,90,0,80,50,60,0,0
219,人间第一情,阎维文,小白杨,70,70,80,60,80,0,0,0,0,80,0,0
220,我想有个家,毛阿敏,单曲,70,60,50,0,0,90,0,80,70,0,0,0
221,真的好想你,毛阿敏,单曲,50,70,80,0,60,80,0,0,20,100,0,0
222,相思,毛阿敏,腔·调,70,80,70,0,0,90,0,0,70,90,0,0
223,烛光里的妈妈,毛阿敏,单曲,60,80,80,0,0,90,0,0,70,90,0,0
224,渴望,毛阿敏,渴望,60,70,80,20,0,90,0,30,90,80,0,0
225,爱上张无忌,毛阿敏,美满,60,60,50,0,70,90,0,90,0,20,0,0
226,神的传说,毛阿敏,封神榜电视连续剧歌曲,70,70,60,0,30,60,0,80,20,40,0,0
227,永恒的诱惑,毛阿敏,武则天,60,60,80,0,30,70,0,60,0,70,0,0
228,爱在指尖,毛阿敏,腔·调,50,60,60,0,0,90,0,60,70,80,0,0
229,十五的月亮,董文华,我爱你中国,60,80,90,30,50,0,0,90,0,50,0,0
230,今天是你的生日我的祖国,董文华,单曲,50,70,80,90,80,0,0,90,0,0,0,0
231,为了谁,董文华,单曲,60,60,90,30,0,90,0,90,0,70,0,0
232,走西口,董文华,单曲,70,80,90,0,80,70,0,90,0,80,0,0
233,让我们荡起双桨,董文华,单曲,60,70,90,90,90,0,0,90,0,50,0,0
234,春天的故事,董文华,单曲,70,90,90,70,80,0,0,80,0,70,0,0
235,知不知道,董文华,单曲,70,80,70,90,90,0,0,80,0,30,0,0
236,知足常乐,董文华,中国年,60,80,90,80,40,10,0,0,0,90,0,0
237,归航,董文华,秋天的诉说,70,70,80,70,80,0,0,90,0,20,0,0
238,怒放的生命,汪峰,怒放的生命,70,60,60,0,20,30,40,90,0,0,0,0
239,飞得更高,汪峰,笑着哭,60,60,70,20,40,60,60,90,0,0,0,0
240,笑着哭,汪峰,笑着哭,60,80,80,0,0,90,0,40,70,80,0,0
241,彼岸,汪峰,笑着哭,60,60,60,0,30,70,60,90,20,0,0,0
242,我的爱,汪峰,爱是一颗幸福的子弹,70,50,50,70,70,0,0,90,0,0,0,0
243,妈妈,汪峰,花火,70,50,40,0,10,90,0,0,80,60,0,0
244,有些事我们永远无法左右,汪峰,生无所求,60,0,40,0,0,90,80,90,50,0,0,0
245,我如此爱你,汪峰,勇敢的心,60,80,80,0,0,90,30,0,80,70,0,0
246,英雄,汪峰,爱是一颗幸福的子弹,80,70,80,80,70,0,0,90,0,0,0,0
247,荷塘月色,凤凰传奇,我从草原来,60,90,90,90,90,0,0,0,0,90,0,0
248,最炫民族风,凤凰传奇,最炫民族风,80,70,80,90,90,0,0,90,0,0,0,0
249,自由自在,凤凰传奇,最好的时代,80,70,80,90,90,0,30,90,0,0,0,0
250,感到幸福你就拍拍手,凤凰传奇,最好的时代,80,70,80,90,90,0,0,90,0,30,0,0
251,中国味道,凤凰传奇,中国味道,70,80,80,90,90,0,0,90,0,0,0,0
252,策马奔腾,凤凰传奇,大声唱,60,70,70,90,90,0,70,90,0,0,0,0
253,我和草原有个约定,凤凰传奇,姑娘的温柔,60,80,80,70,70,0,0,90,0,60,0,0
254,最好的时代,凤凰传奇,最好的时代,70,80,80,90,80,0,0,90,0,0,0,0
255,指间沙,凤凰传奇,最好的时代,70,80,90,0,0,80,70,90,40,20,0,0
256,心驰神往,凤凰传奇,吉祥如意,60,80,80,80,80,0,0,40,0,60,0,0
257,向天再借五百年,韩磊,帝王之声,70,70,90,0,0,90,60,90,60,0,0,0
258,好男儿,韩磊,单曲,60,80,90,20,60,0,0,100,0,0,0,0
259,最后的倾诉,韩磊,最后的倾诉,60,80,90,0,0,70,0,90,0,0,0,0
260,人间正道是沧桑,韩磊,单曲,60,70,60,0,0,70,50,70,30,0,0,0
261,走了这么久,韩磊,单曲,60,80,80,80,70,0,0,20,0,60,0,0
262,梦中的母亲,韩磊,单曲,60,80,80,20,50,80,0,0,0,90,0,0
263,浩浩乾坤,韩磊,单曲,70,60,80,0,0,0,50,80,0,0,0,0
264,心灵睡过的地方,韩磊,单曲,60,50,80,0,40,0,0,0,0,70,0,0
265,我不想输,韩磊,我爱我家主题曲,70,80,60,0,90,0,60,90,0,0,0,0
266,堂堂中国人,韩磊,单曲,70,60,80,0,80,0,0,80,0,0,0,0
267,你快回来,孙楠,楠得精选,70,60,90,0,0,90,60,90,70,40,0,0
268,只要有你,那英&孙楠,心酸的浪漫,60,60,90,0,0,90,30,70,50,90,0,0
269,美丽的神话,韩红&孙楠,恋曲神话,60,50,80,0,70,50,0,90,0,60,0,0
270,五星红旗,孙楠,单曲,60,50,90,60,70,0,0,90,0,0,0,0
271,拯救,孙楠,缘分的天空,60,50,60,0,0,90,80,90,60,0,0,0
272,缘分天空,孙楠,缘分的天空,70,90,70,80,90,0,0,0,0,80,0,0
273,追寻,孙楠,活的美好,60,60,60,0,0,90,0,50,60,70,0,0
274,小情歌,苏打绿,小宇宙,80,80,40,80,80,0,0,0,0,80,0,0
275,我好想你,苏打绿,秋:故事,60,80,80,20,20,90,0,0,40,90,0,0
276,你在烦恼什么,苏打绿,你在烦恼什么,70,80,50,80,90,0,0,0,0,100,0,0
277,他夏了夏天,苏打绿,夏/狂热,80,80,70,90,90,0,0,0,0,90,0,0
278,迟到千年,苏打绿,迟到千年,70,90,90,90,90,0,0,0,0,90,0,0
279,拾穗,苏打绿,秋:故事,60,90,70,50,70,80,0,0,0,90,0,0
280,忐忑,龚琳娜,神曲,100,0,0,100,0,0,100,100,0,0,0,0
281,我的滑板鞋,庞麦郎,我的滑板鞋,70,0,0,100,100,100,0,0,0,0,0,0
282,杀马特遇见洗剪吹,杀马特,神曲,70,0,0,100,100,0,0,100,0,0,0,0
283,月光,胡彦斌,音乐斌潮,60,50,60,0,0,90,0,0,90,70,0,0
284,诀别诗,胡彦斌,男人歌,60,60,70,0,0,90,0,0,90,60,0,0
285,潇湘雨,胡彦斌,男人歌,60,80,90,0,60,90,0,0,0,90,0,0
286,蝴蝶,胡彦斌,音乐密码,70,80,60,0,90,60,0,0,0,90,0,0
287,天亮了,韩红,醒了,70,50,50,0,0,90,70,0,90,50,0,0
288,天路,韩红,感动,70,60,90,90,90,0,0,90,0,70,0,0
289,王妃,萧敬腾,王妃,80,40,40,10,90,0,80,90,0,0,0,0
290,会痛的石头,萧敬腾,王妃,60,90,80,0,0,90,0,0,90,60,0,0
291,新不了情,萧敬腾,单曲,70,80,70,0,0,90,80,50,90,0,0,0
292,只能想念你,萧敬腾,狂想曲,60,80,50,0,70,60,0,0,0,80,0,0
293,你,萧敬腾,狂想曲,60,60,60,0,0,90,0,0,90,70,0,0
294,Marry Me,萧敬腾,以爱之名,60,80,90,90,90,0,0,0,0,60,0,0
295,多希望你在,萧敬腾,萧敬腾,70,80,80,0,10,90,0,0,70,70,0,0
296,水手,郑智化,私房歌,70,80,80,0,20,90,0,40,70,20,0,0
297,星星点灯,郑智化,星星点灯,80,80,70,0,20,90,0,70,0,30,0,0
298,蜗牛的家,郑智化,星星点灯,70,70,80,40,70,80,0,0,0,60,0,0
299,山水之间,许嵩,不如吃茶去,60,60,80,20,90,30,0,0,0,80,0,0
300,素颜,许嵩&何曼婷,单曲,70,80,80,90,90,0,0,0,0,90,0,0
301,清明雨上,许嵩,自定义,60,70,90,0,20,90,0,0,80,80,0,0
302,你若成风,许嵩&阿布,单曲,80,80,50,90,90,0,0,0,0,70,0,0
303,玫瑰花的葬礼,许嵩,单曲,70,70,80,0,0,90,0,0,90,80,0,0
304,后会无期,徐良,不良少年,80,80,60,0,0,90,0,0,80,80,0,0
305,考试什么的都去死吧,徐良&庄雨洁,不良少年,70,80,80,70,70,0,0,0,0,70,0,0
306,吵架歌,汪苏泷&Hari,传世乐章,70,90,60,90,90,0,0,30,0,90,0,0
307,日不落,蔡依林,特务J,70,90,90,90,90,0,0,80,0,60,0,0
308,为你写诗,吴克羣,为你写诗,60,90,70,0,20,90,0,20,30,70,0,0
309,我的未来不是梦,张雨生,张雨生精选集,60,80,90,20,20,70,0,70,0,90,0,0
310,大海,张雨生,大海,60,70,90,0,0,90,30,70,50,90,0,0
311,泡沫,邓紫棋,Xposed,60,60,70,0,0,90,40,70,90,70,0,0
312,明天过后,张杰,明天过后,70,70,70,0,10,90,0,0,70,80,0,0
313,最美的太阳,张杰,最美的太阳,60,60,70,60,80,0,0,90,0,60,0,0
314,橄榄树,齐豫,橄榄树,60,70,80,0,20,80,0,60,50,70,0,0
315,我叫小沈阳,小沈阳,单曲,80,60,50,100,100,0,0,80,0,0,0,0
316,暗香,沙宝亮,暗香,60,60,50,0,0,90,30,40,90,0,0,0
317,爱转角,罗志祥,Best Show,70,80,80,20,30,90,0,0,0,100,0,0
318,听妈妈的话,周杰伦,单曲,80,70,60,80,90,0,0,0,0,80,0,0
319,年轻的战场,张杰,单曲,60,70,80,60,90,0,0,90,0,80,0,0
320,启程,水木年华,启程,60,80,60,70,80,30,0,80,0,80,0,0
321,Ron's Speech,Alexandre Desplat,Harry Potter,5,95,95,0,0,30,0,0,10,100,0,0
322,Papillon,Secret Garden,Song From A Secret Garden,10,100,100,30,100,10,0,0,0,100,0,0
323,Illumination,Secret Garden,WhiteStone,10,80,90,70,20,50,0,0,10,95,0,0
324,雨碎江南·印象,墨明棋妙,墨,10,95,90,0,0,90,0,0,30,100,0,0
325,月光,贝多芬,单曲,10,100,80,5,10,80,0,0,10,100,0,0
326,Apres Un Reve,Arturo Delmoni,Sonatas Of Franck And Beach,10,65,65,0,0,60,10,0,60,60,0,0
327,G弦上的咏叹调,巴赫,单曲,15,100,95,50,60,20,0,0,0,100,0,0
328,二泉映月,阿炳,单曲,15,70,70,0,0,50,0,0,80,50,0,0
329,平沙落雁,古筝,单曲,15,80,70,10,10,20,0,0,20,60,0,0
330,Lament For A Frozen Flower,Secret Garden,Winter Poem,15,80,75,0,0,80,0,0,100,70,0,0
331,眼泪,Daydream,单曲,15,80,90,0,5,90,0,0,50,80,0,0
332,Inori,西村由纪江,大地のうた,15,90,90,0,10,20,0,0,0,100,0,0
333,A Time For Us,David Davidson,Silver Screen Classics,15,75,80,0,0,60,0,0,80,80,0,0
334,Devotion,Jim Brickman,Simple Things,15,90,90,50,0,40,0,0,0,100,0,0
335,Sometimes When It Rains,Secret Garden,Earthsongs,15,80,85,10,0,20,0,20,0,100,0,0
336,追昔,陈思涵,云之遥,15,80,80,0,0,80,0,0,100,20,0,0
337,Love's First Smile,Kevin Kern,In My Life,20,70,80,80,100,0,0,0,0,80,0,0
338,高山流水,古筝,单曲,20,60,80,20,30,20,0,0,0,60,0,0
339,湖畔,柴可夫斯基,单曲,20,60,90,10,10,50,30,0,20,50,0,0
340,The Rain,久石让,菊次郎的夏天,20,75,80,30,70,70,0,0,0,90,0,0
341,Always With Me,久石让,千与千寻,20,90,100,70,80,5,0,0,0,100,0,0
342,三个人的时光,大宇,天之痕,20,95,95,0,20,60,0,0,30,100,0,0
343,梁祝,群星,单曲,20,70,75,0,0,30,0,0,50,80,0,0
344,Il Mostro,Ashram,Shining Silver Skies,20,75,85,0,0,50,0,0,20,80,0,0
345,启示录,佚名,单曲,20,95,90,20,50,10,0,5,0,95,0,0
346,天鹅之死,米哈伊尔·福金,单曲,20,70,80,0,0,50,0,0,60,75,0,0
347,Before Love,坂本龙一,幸福的味道,20,80,65,30,10,30,0,0,,65,0,0
348,Destiny,喜多郎,Heaven & Earth,20,80,75,40,0,50,0,0,0,80,0,0
349,清流,木村宗次郎,心,20,90,90,20,20,20,0,0,0,90,0,0
350,Awaken Of Spring,Zbigniew Preisner,Secret Garden,20,90,90,80,0,0,0,0,0,80,0,0
351,渔舟唱晚,古筝,单曲,20,70,90,50,60,0,0,0,0,70,0,0
352,The Glorious Death,冯曦妤,A Little Love,20,85,95,10,10,20,0,10,5,100,0,0
353,Arrivals N.2,Dustin O'Halloran,Like Crazy,20,80,80,20,30,30,0,30,30,80,0,0
354,琵琶语,林海,琵琶相,25,80,80,0,10,50,0,0,0,90,0,0
355,Anticipation,Secret Garden,Winter Poem,25,90,90,50,50,50,0,0,0,90,0,0
356,冰点,玉置浩二,单曲,25,90,85,10,20,50,0,0,0,90,0,0
357,梦幻曲,舒曼,单曲,25,70,80,0,0,50,0,0,80,80,0,0
358,一舞倾城,胡彦斌,秦时明月之诸子百家,25,70,75,80,80,20,10,40,10,40,0,0
359,故乡の原风景,木村宗次郎,木道,25,90,90,40,0,20,0,30,0,80,0,0
360,草原之泪,矶村由纪子,风の住む街,25,85,85,0,0,80,0,0,0,90,0,0
361,A Day Without Rain,Enya,单曲,25,80,75,50,50,10,0,30,0,80,0,0
362,When Christmas Comes To Town,Alan Silvestri,极地特快,25,95,95,90,10,0,0,0,0,90,0,0
363,Classic River,John Lennon,单曲,25,85,80,10,0,60,0,0,40,80,0,0
364,一个人的雨,山居岁月,山居岁月,25,90,90,50,60,30,0,0,0,80,0,0
365,After the Rain,Kevin Kern,In Enchanted Garden,30,85,90,40,100,0,0,0,0,100,0,0
366,夜的钢琴曲（五）,石进,夜的钢琴曲,30,100,100,20,100,60,0,0,0,100,0,0
367,春江花月夜,古筝,单曲,30,50,75,20,50,80,0,30,10,70,0,0
368,汉宫秋月,于秋旋,单曲,30,65,85,30,30,30,0,0,0,70,0,0
369,蓝色多瑙河,斯特劳斯,单曲,30,80,95,90,80,0,0,20,0,85,0,0
370,天鹅,圣桑,单曲,30,100,90,20,20,20,0,0,0,100,0,0
371,Lotus Flower,Eric Chiryoku,Spring Of Life,30,70,70,80,40,0,0,0,0,70,0,0
372,红旗颂,中国人民解放军军乐团,单曲,30,60,70,60,40,0,20,100,30,20,0,0
373,Kiss The Rain,李闰珉,单曲,30,70,90,20,20,30,0,0,0,100,0,0
374,回梦游仙,上海软星,仙剑奇侠传4,30,60,75,0,0,40,0,40,60,80,0,0
375,Give Me Your Names,约翰·威廉姆斯,辛德勒名单,30,70,80,0,0,80,0,0,75,60,0,0
376,辛德勒名单,约翰·威廉姆斯,辛德勒名单,30,70,80,0,0,80,0,0,80,60,0,0
377,忧伤还是快乐,K.Wiiliams,金色钢琴,30,70,60,50,20,50,0,80,50,50,0,0
378,Saigon Reunion,喜多郎,Heaven & Earth,30,60,80,30,0,0,50,60,30,20,0,0
379,Going Home,Kenny G,Kenny G Live,30,90,90,100,30,0,0,50,0,100,0,0
380,京华一梦,墨明棋妙,单曲,30,70,80,0,0,50,0,0,10,100,0,0
381,火战车,Vangelis,火战车,30,60,80,80,0,0,0,80,0,30,0,0
382,Scene Damour,Sarah Brightman,Francis Lai,30,80,60,0,0,80,0,0,50,80,0,0
383,Nostalgia,Yanni,Keys To Imagination,35,75,65,20,35,35,0,50,0,30,0,0
384,童年,班得瑞,单曲,35,80,80,30,100,0,0,0,0,90,0,0
385,水墨,Winky诗,诺言老,35,65,90,70,80,0,0,50,0,50,0,0
386,A Thousand Miles Away,Kevin Kern,Endless Blue Sky,35,85,90,30,20,40,0,0,0,100,0,0
387,G小调第40交响曲,莫扎特,单曲,40,75,75,20,20,30,0,60,0,30,0,0
388,阳光舞甜橙,李欣芸,阳光·舞·甜橙,40,85,90,100,100,0,0,30,0,80,0,0
389,The Wind Of Change,Acoustic Alchemy,Aart,40,80,85,50,50,35,0,0,0,80,0,0
390,Don Giovanni,理查德·克莱德曼,Omaggio a Lucio Battisti,40,50,70,50,30,0,0,50,0,60,0,0
391,Still Waters,Maxim,马克西姆精选集,40,80,80,30,20,40,0,65,5,75,0,0
392,December,July,In Love,40,60,75,60,60,0,20,80,0,20,0,0
393,The Truth That You Leave,Pianoboy,单曲,40,80,90,80,50,20,0,65,0,40,0,0
394,杨柳,范宗沛,范宗沛与孽子,40,90,90,10,20,70,0,0,40,80,0,0
395,十三月,范宗沛,水色,40,80,90,30,0,30,0,30,20,80,0,0
396,百鸟朝凤,古筝,单曲,40,70,70,0,0,0,0,0,0,50,0,0
397,Elegie,Secret Garden,Once In A Red Moon,40,80,80,0,0,80,0,0,100,60,0,0
398,千年の祈り,姬神,苍穹之声,45,70,75,75,30,0,0,75,0,10,0,0
399,Southampton,James Horner,Titanic,45,70,80,50,20,0,0,70,0,40,0,0
400,命运交响曲,贝多芬,单曲,50,30,50,30,30,30,80,80,80,0,0,0
401,Lost In Paradise,David Lanz,Finding Paradise,50,50,90,95,90,0,0,90,0,0,0,0
402,Divertimento,Secret Garden,Dawn Of A New Century,50,70,80,100,100,0,0,70,0,20,0,0
403,阿尔罕布拉宫的回忆,弗朗西斯科·塔雷加,单曲,50,85,95,0,0,95,0,0,0,100,0,0
404,The End Of August,Yanni,In My Time,50,100,100,50,50,30,0,0,10,100,0,0
405,钟,帕格尼尼,单曲,50,40,60,35,80,0,0,40,0,35,0,0
406,The Dawn,Dreamtale,Beyond Reality,50,50,80,80,20,0,80,100,0,0,0,0
407,みんな転勤のせいだ,矶村由纪子,风の住む街,50,80,80,60,30,20,0,0,0,80,0,0
408,青石的街道向晚,范宗沛,水色,50,80,80,30,30,30,0,0,0,30,0,0
409,Titans,Vangelis,Alexander,50,70,85,60,40,0,0,90,0,20,0,0
410,Fly Me To The Moon ,小野丽莎,Cheek To Cheek,50,40,75,50,80,50,0,0,0,30,0,0
411,Moon Dance,Danny Elfman,单曲,55,70,65,50,50,50,0,50,0,80,0,0
412,Santorini,Yanni,单曲,60,60,70,100,100,0,0,100,0,0,0,0
413,Sona,Secret Garden,Dawn Of A New Century,60,80,90,10,90,50,0,30,0,50,0,0
414,Canon,George Winston,单曲,60,70,90,100,100,0,0,0,0,70,0,0
415,婚礼进行曲,门德尔松,单曲,60,65,80,100,70,0,0,70,0,10,0,0
416,The Piano Duet,Tim Burton,Corpse Bride,60,80,90,100,50,80,0,20,50,80,0,0
417,花火,藤田麻衣子,单曲,60,65,85,60,20,10,0,70,0,50,0,0
418,Child In Paradise,Maxim,The Piano Player,60,40,55,50,50,0,50,80,0,0,0,0
419,镜夜,V.K克,镜夜,60,75,80,60,80,0,0,80,0,20,0,0
420,Cry Me A River,David Garret,Virtuoso,60,50,70,0,20,80,20,70,60,20,0,0
421,步向明日之门,女子十二乐坊,辉煌,65,80,70,90,95,0,0,60,0,50,0,0
422,欢沁,林海,琵琶相,65,65,80,100,100,0,0,40,0,20,0,0
423,流动的城市,林海,流动的城市,70,90,90,30,60,20,0,5,0,90,0,0
424,February Sea,George Winston,Winter Into Spring,70,50,60,0,50,60,0,50,0,20,0,0
425,Why Do We Fall,Hans Zimmer,蝙蝠侠：黑暗骑士崛起,70,40,50,0,0,0,90,90,20,0,0,0
426,One Night,加贺谷玲,银河铁道之夜,70,90,90,80,100,5,0,80,0,60,0,0
427,行星组曲,古斯塔夫·霍尔斯特,单曲,70,50,65,80,80,0,0,100,0,0,0,0
428,The Crave,Ennio Morricone,The Legend Of 1900,70,60,50,50,100,0,0,80,0,60,0,0
429,The Avengers,Alan Silvestri,复仇者联盟,70,40,70,0,10,0,80,100,0,0,0,0
430,Elan,Secret Garden,Dawn Of A New Century,70,50,80,100,100,0,20,100,0,0,0,0
431,The Rap,Secret Garden,Song From A Secret Garden,70,50,80,100,100,0,0,80,0,0,0,0
432,Croatian Rhapsody,Maxim,The Piano Player,80,30,80,50,50,0,50,90,70,0,0,0
433,十面埋伏,琵琶,单曲,80,20,40,0,0,50,80,50,60,0,0,0
434,He's A Pirate,Hans Zimmer,加勒比海盗,80,30,70,100,100,0,0,100,0,0,0,0
435,Cubana,Maxim,The Piano Player,100,5,70,95,100,5,50,90,0,0,0,0
436,幻想即兴曲,肖邦,单曲,100,55,90,25,25,20,0,80,0,65,0,0
